"","Dendritic_quanTIseq","NK_quanTIseq","T.CD8_quanTIseq","Tregs_quanTIseq","Mouse_treatment","Condition","Timepoint","GSM_ID"
"SRX5100689",0.0020644104,0.0007342974,0.0003823572,0.0005127884,"antiPD1; antiCTLA4;","day7","day7","GSM3554691"
"SRX5100686",0.0030451098,0.001085262,0,0.0003227706,"no_treatment","day7","day7","GSM3554692"
"SRX5100687",0.0030096192,0.0010988538,3.49302e-05,0.0004047916,"no_treatment","day7","day7","GSM3554693"
"SRX5100692",0.003046641,0.0010471212,3.331262e-05,0.0004029854,"no_treatment","day7","day7","GSM3554694"
"SRX5100693",0.0031648746,0.000860631,0,0.0003356824,"no_treatment","day7","day7","GSM3554695"
"SRX5100690",0.0022529988,0.0007249926,2.383052e-05,0.000245116,"antiPD1; antiCTLA4;","day7","day7","GSM3554696"
"SRX5100691",0.003449043,0.0008667516,3.151104e-06,0.0004006074,"antiPD1; antiCTLA4;","day7","day7","GSM3554697"
"SRX5100680",0.0043494576,0.0009490896,1.6895496e-05,0.0005095694,"antiPD1; antiCTLA4;","day7","day7","GSM3554698"
"SRX5100597",0.0029152284,0.000706455,0,0.0002796756,"no_treatment","end","end","GSM3554699"
"SRX5100596",0.0032315094,0.0010024776,0,0.0003604744,"no_treatment","day3","day3","GSM3554700"
"SRX5100599",0.0025472916,0.0006423648,0,0.0002765198,"no_treatment","end","end","GSM3554701"
"SRX5100598",0.0025723194,0.0007225998,0,0.0003291106,"no_treatment","day3","day3","GSM3554702"
"SRX5100618",0.0025648788,0.00050148552,0,0.0002847744,"no_treatment","day3","day3","GSM3554703"
"SRX5100617",0.0027569934,0.0007122096,0,0.0003441998,"no_treatment","day3","day3","GSM3554704"
"SRX5100591",0.0042755442,0.0006430698,0,0.0006525684,"no_treatment","day3","day3","GSM3554705"
"SRX5100588",0.0025009326,0.0005549361,0,0.000297909,"antiPD1; antiCTLA4;","day3","day3","GSM3554706"
"SRX5100589",0.0059515362,0.0011347626,0.00017756544,0.0007348336,"antiPD1; antiCTLA4;","day3","day3","GSM3554707"
"SRX5100594",0.003723276,0.0008316744,0,0.0003249214,"antiPD1; antiCTLA4;","day3","day3","GSM3554708"
"SRX5100609",0.0049667706,0.002357922,0.00010039948,0.0007190352,"antiPD1; antiCTLA4;","day3","day3","GSM3554709"
"SRX5100595",0.0050113746,0.0018279384,0.00012669174,0.0008693806,"antiPD1; antiCTLA4;","day3","day3","GSM3554710"
"SRX5100592",0.00227838,0.00058271832,0,0.000267087,"no_treatment","end","end","GSM3554711"
"SRX5100593",0.0022081854,0.00047444736,0,0.0002101968,"no_treatment","end","end","GSM3554712"
"SRX5100586",0.0020625012,0.0006201132,0,0.000266645,"no_treatment","end","end","GSM3554713"
"SRX5100587",0.0029429604,0.0006990366,0,0.0003629198,"no_treatment","end","end","GSM3554714"
"SRX5100855",0.0033581142,0.000807975,0,0.0003995992,"antiPD1; antiCTLA4;","end","end","GSM3554715"
"SRX5100854",0.0015200538,0.00031236396,0,0.00017607912,"antiPD1; antiCTLA4;","end","end","GSM3554716"
"SRX5100853",0.0030162588,0.00076647,0,0.0003386614,"antiPD1; antiCTLA4;","end","end","GSM3554717"
"SRX5100631",0.0018223626,0.00041111682,0.00015909758,0.000244731,"no_treatment","Apobec_day3","day3","GSM3554718"
"SRX5100821",0.002756628,0.0007365792,3.278666e-05,0.0004463348,"no_treatment","Apobec_day3","day3","GSM3554719"
"SRX5100818",0.0031634244,0.00056599566,0.0006720236,0.0005852882,"no_treatment","Apobec_day3","day3","GSM3554720"
"SRX5100622",0.0039560454,0.000823635,3.181218e-05,0.0005484326,"no_treatment","Apobec_day3","day3","GSM3554721"
"SRX5100623",0.0015120894,0.00051586452,8.728094e-06,0.0002434584,"no_treatment","Apobec_day3","day3","GSM3554722"
"SRX5100863",0.0028508052,0.0006209784,1.9482734e-05,0.000438833,"no_treatment","UV_day3","day3","GSM3554724"
"SRX5100861",0.0044231172,0.0008691174,0.0001650683,0.00054004,"no_treatment","UV_day3","day3","GSM3554725"
"SRX5100822",0.0035853192,0.0011362956,0.0007057278,0.0005798418,"no_treatment","UV_day3","day3","GSM3554726"
"SRX5100823",0.0029545044,0.000783234,2.024958e-05,0.0003110776,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554727"
"SRX5100820",0.0025715496,0.0006015462,0.000219904,0.0002836244,"no_treatment","UV_day3","day3","GSM3554728"
"SRX5100777",0.0029513352,0.0011890542,4.486374e-05,0.0002813942,"antiPD1; antiCTLA4;","UV_end","end","GSM3554729"
"SRX5100776",0.0019032534,0.0006552114,0,0.000206632,"antiPD1; antiCTLA4;","UV_end","end","GSM3554730"
"SRX5100779",0.0020279964,0.0007486404,8.434116e-05,0.0003478588,"antiPD1; antiCTLA4;","UV_end","end","GSM3554731"
"SRX5100773",0.001867611,0.00047111676,2.063958e-05,0.00014823808,"antiPD1; antiCTLA4;","UV_end","end","GSM3554732"
"SRX5100709",0.0037409094,0.0009616254,0.0005450034,0.0007164052,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554733"
"SRX5100712",0,0.000456978,0.0008481252,0.0005781506,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554734"
"SRX5100711",0.0022124166,0.00051354888,0,0.000269193,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554735"
"SRX5100714",0.0030503694,0.0006799548,1.9906518e-05,0.0003770074,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554736"
"SRX5100713",0.003293007,0.0007082286,0,0.0004873732,"no_treatment","UV_day7","day7","GSM3554737"
"SRX5100716",0.0030053406,0.00059674356,0.00017795396,0.0002651262,"no_treatment","UV_day7","day7","GSM3554738"
"SRX5100715",0.00279591,0.0006447348,0.00016461588,0.0005770782,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554739"
"SRX5100708",0.004482186,0.001394697,0.0005333106,0.0008706402,"no_treatment","UV_day7","day7","GSM3554740"
"SRX5100707",0.0037913844,0.0010366464,7.378146e-05,0.000702162,"no_treatment","UV_day7","day7","GSM3554741"
"SRX5100619",0.00024616602,0.00057440382,0.002410388,0.0008075568,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554742"
"SRX5100620",0.0051339528,0.0018295374,0.000726587,0.0009367704,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554743"
"SRX5100621",0.0048424854,0.00057688332,0.00208491,0.000874022,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554744"
"SRX5100605",0.0023861838,0.00048438018,2.344634e-05,0.0002222348,"no_treatment","UV_end","end","GSM3554745"
"SRX5100604",0.0042887622,0.001399056,0,0.0004458304,"no_treatment","UV_end","end","GSM3554746"
"SRX5100766",0.0014485092,0.00037977348,3.117824e-05,0.00018638352,"no_treatment","UV_end","end","GSM3554747"
"SRX5100767",0.003072243,0.0007802376,0,0.000333934,"no_treatment","UV_end","end","GSM3554748"
"SRX5100590",0.0021178392,0.00038570862,0,0.00015343686,"no_treatment","UV_end","end","GSM3554749"
"SRX5100608",0.0023763546,0.0002808342,1.5434048e-05,0.00014665432,"no_treatment","UV_end","end","GSM3554750"
"SRX5100645",0,0.00030093744,2.531828e-05,2.867546e-05,"no_treatment","day3","day3","GSM3554785"
"SRX5100721",0,0.0002087886,3.232138e-06,0.00010941998,"no_treatment","day3","day3","GSM3554786"
"SRX5100644",0,0.00019347816,0,0.0001393932,"no_treatment","day3","day3","GSM3554787"
"SRX5100757",0,0.00025048626,1.596379e-05,0.0002432966,"no_treatment","day3","day3","GSM3554788"
"SRX5100774",0.00030476694,0.00034093296,0,0.0002255334,"no_treatment","end","end","GSM3554789"
"SRX5100674",0.00018480696,0.00052788534,0,0.0002950112,"no_treatment","end","end","GSM3554790"
"SRX5100756",0.00017936934,0.00026281608,0,0.0001697364,"no_treatment","day3","day3","GSM3554791"
"SRX5100607",0.00053868666,0.00029417448,0,0.00018004834,"no_treatment","day3","day3","GSM3554792"
"SRX5100606",0,0.0002708214,0,9.442894e-05,"no_treatment","day3","day3","GSM3554793"
"SRX5100650",0.00054142842,0.00036371022,0,0.0002111886,"no_treatment","day3","day3","GSM3554794"
"SRX5100701",0.0008067756,0.00034668576,0,0.0002341746,"no_treatment","day3","day3","GSM3554795"
"SRX5100782",0.0009429636,0.00047381784,0,0.0002119092,"no_treatment","day3","day3","GSM3554796"
"SRX5100781",0.0012098646,0.00046463238,0,0.0002442342,"no_treatment","day3","day3","GSM3554797"
"SRX5100728",0.0010031016,0.00041734806,0,0.0002296096,"no_treatment","day3","day3","GSM3554798"
"SRX5100700",0.0007131156,0.00032708376,0,0.00015826882,"antiPD1; antiCTLA4;","day3","day3","GSM3554799"
"SRX5100729",0.0007093716,0.00033428688,0,0.0002502674,"antiPD1; antiCTLA4;","day3","day3","GSM3554800"
"SRX5100730",0.0007721382,0.0004164888,0,0.000258141,"antiPD1; antiCTLA4;","day3","day3","GSM3554801"
"SRX5100731",0.0012594528,0.00050149512,0,0.000292998,"antiPD1; antiCTLA4;","day3","day3","GSM3554802"
"SRX5100732",0.001129536,0.00040216014,0,0.000274987,"antiPD1; antiCTLA4;","day3","day3","GSM3554803"
"SRX5100699",0.0009398022,0.00032093004,0,0.0002335428,"no_treatment","end","end","GSM3554804"
"SRX5100698",0.0006972876,0.00037527018,0,0.0002228244,"no_treatment","end","end","GSM3554805"
"SRX5100734",0.0006518076,0.00035415258,0,0.000211896,"no_treatment","end","end","GSM3554806"
"SRX5100694",0.001454568,0.00042390006,0,0.0002409262,"no_treatment","end","end","GSM3554807"
"SRX5100735",0.0007317582,0.00043120146,0,0.000233708,"no_treatment","end","end","GSM3554808"
"SRX5100736",0.001130577,0.00041304894,0,0.0002118128,"antiPD1; antiCTLA4;","end","end","GSM3554809"
"SRX5100737",0.000712059,0.0003508119,0,0.00019795526,"antiPD1; antiCTLA4;","end","end","GSM3554810"
"SRX5100702",0.0006827322,0.00034084806,0,0.00018862812,"antiPD1; antiCTLA4;","end","end","GSM3554811"
"SRX5100697",0.002282022,0.0013298094,0,0.0003969378,"no_treatment","end","end","GSM3554812"
"SRX5100696",0.000752073,0.00028188654,0,0.00011064924,"no_treatment","day3","day3","GSM3554813"
"SRX5100695",0.0009060522,0.00025241172,0,0.00010018238,"no_treatment","day3","day3","GSM3554814"
"SRX5100704",0.0010879446,0.00032780394,0,0.00013636724,"no_treatment","day3","day3","GSM3554815"
"SRX5100703",0.000991002,0.00033090924,0,0.00013698964,"antiPD1; antiCTLA4;","day3","day3","GSM3554816"
"SRX5100668",0.0013554036,0.00033134832,0,0.00014726384,"antiPD1; antiCTLA4;","day3","day3","GSM3554817"
"SRX5100669",0.000954576,0.00026168046,0,0.00010346784,"antiPD1; antiCTLA4;","day3","day3","GSM3554818"
"SRX5100666",0.0012777468,0.0004350954,3.390196e-05,0.0002413974,"antiPD1; antiCTLA4;","day3","day3","GSM3554819"
"SRX5100667",0.0007526238,0.0003002892,0,8.180846e-05,"antiPD1; antiCTLA4;","day3","day3","GSM3554820"
"SRX5100672",0.0018360264,0.00049392786,0,0.00018126126,"no_treatment","end","end","GSM3554821"
"SRX5100635",0.0019439364,0.00052672956,0,0.00014552784,"no_treatment","end","end","GSM3554822"
"SRX5100664",0.0008446206,0.00032265738,0,6.660248e-05,"no_treatment","end","end","GSM3554823"
"SRX5100662",0.0012106968,0.00056570586,0,0.00015737398,"no_treatment","end","end","GSM3554824"
"SRX5100637",0.001264152,0.00053900598,0,8.24885e-05,"no_treatment","end","end","GSM3554825"
"SRX5100634",0.000926877,0.00032028456,0,0.00012082946,"no_treatment","end","end","GSM3554826"
"SRX5100673",0.002814789,0.0007453716,0,0.000262479,"no_treatment","end","end","GSM3554827"
"SRX5100640",0.0013063002,0.0005990502,0,0.00018194958,"no_treatment","end","end","GSM3554828"
"SRX5100633",0.0009776556,0.00046859886,0,0.00018236126,"antiPD1; antiCTLA4;","end","end","GSM3554829"
"SRX5100670",0.00104322,0.00055021782,0,0.00011491462,"antiPD1; antiCTLA4;","end","end","GSM3554830"
"SRX5100671",0.0015037992,0.0005376492,0,0.00015339462,"antiPD1; antiCTLA4;","end","end","GSM3554831"
"SRX5100663",0.0015008628,0.00041505678,0,0.00014092316,"antiPD1; antiCTLA4;","end","end","GSM3554832"
"SRX5100636",0.001108371,0.00048665418,0,0.0002022562,"antiPD1; antiCTLA4;","end","end","GSM3554833"
"SRX5100639",0.0015155922,0.000669354,0,0.000282744,"no_treatment","end","end","GSM3554834"
"SRX5100719",0.001766568,0.00039655212,0,0.0001759236,"no_treatment","day3","day3","GSM3554835"
"SRX5100720",0.0022852902,0.00054608862,0,0.0002881916,"no_treatment","day3","day3","GSM3554836"
"SRX5100717",0.0009116088,0.00039816666,0,0.00012638664,"no_treatment","day3","day3","GSM3554837"
"SRX5100718",0.0018870258,0.00044056266,0,0.00019155978,"no_treatment","day3","day3","GSM3554838"
"SRX5100677",0.0018746934,0.0008457492,0,0.0004361848,"no_treatment","end","end","GSM3554839"
"SRX5100705",0.0050840808,0.0022478334,8.056842e-05,0.0006038976,"no_treatment","end","end","GSM3554840"
"SRX5100649",0.0018988236,0.00031742178,0,0.0003375706,"no_treatment","end","end","GSM3554841"
"SRX5100856",0.00044896782,0.00026009346,0,0.000264664,"no_treatment","end","end","GSM3554842"
"SRX5100733",0.0007424238,0.00032947194,1.2686564e-07,0.00016136466,"no_treatment","end","end","GSM3554843"
"SRX5100724",0.0014798766,0.0008097342,5.385956e-05,0.0003608006,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554847"
"SRX5100723",0.0031490328,0.0014882904,0,0.0004615394,"no_treatment","UV_end","end","GSM3554848"
"SRX5100722",0.0033209712,0.0012124914,0.00011109058,0.00048488,"no_treatment","Apobec_day3","day3","GSM3554849"
"SRX5100642",0.0021267648,0.0010795356,7.36522e-05,0.0003755254,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554850"
"SRX5100641",0.0028198794,0.0012310134,0.0003453532,0.0004258506,"no_treatment","UV_end","end","GSM3554851"
"SRX5100638",0.0054328692,0.0017605584,5.089042e-05,0.000529629,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554852"
"SRX5100632",0.00712011,0.002415066,0.00019217666,0.0005784088,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554853"
"SRX5100675",0.0050256258,0.0015913062,4.349316e-05,0.0004762342,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554854"
"SRX5100860",0.0031908216,0.0011889852,5.329164e-05,0.0004939734,"no_treatment","Apobec_day3","day3","GSM3554855"
"SRX5100859",0.0019258032,0.0008456694,2.35763e-05,0.0003239946,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554856"
"SRX5100858",0.0027990168,0.0014099154,0,0.0005212308,"no_treatment","UV_end","end","GSM3554857"
"SRX5100857",0.0042198696,0.00138237,4.036378e-05,0.0004307396,"antiPD1; antiCTLA4;","Apobec_day3","day3","GSM3554858"
"SRX5100864",0.004331829,0.0013973934,0.0005156446,0.000583812,"no_treatment","Apobec_day3","day3","GSM3554859"
"SRX5100862",0.0025394886,0.0009702588,0.0003130756,0.0004547158,"no_treatment","Apobec_day3","day3","GSM3554860"
"SRX5100867",0.0018307998,0.0008953524,1.7730548e-06,0.000430252,"antiPD1; antiCTLA4;","Apobec_end","end","GSM3554861"
"SRX5100866",0.0025536846,0.0013179912,0,0.0004079552,"no_treatment","UV_end","end","GSM3554862"
"SRX5100816",0.0020357004,0.0009948582,0,0.0003773776,"no_treatment","Apobec_end","end","GSM3554863"
"SRX5100817",0.0021124518,0.0009744918,2.77407e-05,0.0003476384,"no_treatment","Apobec_end","end","GSM3554864"
"SRX5100824",0.0019188072,0.000850095,9.183494e-06,0.000310118,"no_treatment","Apobec_end","end","GSM3554865"
"SRX5100825",0.002011377,0.000905019,0,0.000319176,"no_treatment","Apobec_end","end","GSM3554866"
"SRX5100790",0.003832701,0.0016066752,0.0005776184,0.0005080776,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554883"
"SRX5100789",0.0059149656,0.001772211,0.000767779,0.0005653966,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554884"
"SRX5100788",0.0028000908,0.0014333088,0.000426594,0.0003993662,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554885"
"SRX5100787",0.0050314608,0.0015426648,0.0006714424,0.0005569002,"antiPD1; antiCTLA4;","UV_day7","day7","GSM3554886"
"SRX5100794",0.0028929372,0.0012975012,6.417034e-05,0.0003792856,"no_treatment","UV_day7","day7","GSM3554887"
"SRX5100793",0.0033457344,0.0014224296,0,0.0005058482,"no_treatment","UV_day7","day7","GSM3554888"
"SRX5100688",0.0031333362,0.0015112878,0,0.0004708926,"no_treatment","UV_day7","day7","GSM3554889"
"SRX5100681",0.0028270908,0.0014391738,9.392614e-06,0.000616126,"antiPD1; antiCTLA4;","UV_end","end","GSM3554890"
"SRX5100710",0.0030001548,0.0013947072,0,0.0004653536,"no_treatment","UV_day7","day7","GSM3554891"
"SRX5100624",0.0035638002,0.0015342678,0,0.000486253,"antiPD1; antiCTLA4;","day7","day7","GSM3554892"
"SRX5100625",0.0025436718,0.0011372934,0,0.0003816588,"antiPD1; antiCTLA4;","day7","day7","GSM3554893"
"SRX5100626",0.0031670382,0.001506186,0,0.0005348154,"antiPD1; antiCTLA4;","day7","day7","GSM3554894"
"SRX5100627",0.0035566464,0.0015145758,0,0.000545733,"antiPD1; antiCTLA4;","day7","day7","GSM3554895"
"SRX5100628",0.003199338,0.0013633902,0,0.0005253568,"no_treatment","day7","day7","GSM3554896"
"SRX5100660",0.0031540218,0.0014421396,0,0.0004932554,"no_treatment","day7","day7","GSM3554897"
"SRX5100659",0.0032424006,0.0014498112,0,0.0005277364,"no_treatment","day7","day7","GSM3554898"
"SRX5100658",0.0029806854,0.0013786932,0,0.0004289056,"no_treatment","day7","day7","GSM3554899"
"SRX5100657",0.0037598016,0.0021141678,0.0008223552,0.0006177436,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554900"
"SRX5100656",0.0045750024,0.001216539,0.0016167826,0.0005689636,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554901"
"SRX5100655",0.0021530946,0.00076755,0.00015280282,0.0002617418,"no_treatment","Apobec_day7","day7","GSM3554902"
"SRX5100654",0.0054601704,0.002036439,0.0006688686,0.0011280428,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554903"
"SRX5100653",0.0021348846,0.0007599726,5.078994e-05,0.00028456,"no_treatment","Apobec_day7","day7","GSM3554904"
"SRX5100652",0.0018239298,0.0007432368,0.00010417714,0.0002620388,"no_treatment","Apobec_day7","day7","GSM3554905"
"SRX5100651",0.0059098002,0.0018844422,0.000832317,0.0005316004,"antiPD1; antiCTLA4;","Apobec_day7","day7","GSM3554906"
"SRX5100848",0.0025400628,0.0008041674,5.720588e-05,0.0003064858,"no_treatment","Apobec_day7","day7","GSM3554907"
"SRX5100849",0.0019382706,0.0009847398,0,0.0003237688,"antiPD1; antiCTLA4;","end","end","GSM3554908"
"SRX5100846",0.0033792282,0.001495812,4.268988e-05,0.0005070408,"antiPD1; antiCTLA4;","end","end","GSM3554909"
"SRX5100847",0.0025263774,0.0011641188,3.282092e-05,0.000388368,"antiPD1; antiCTLA4;","end","end","GSM3554910"
"SRX5100844",0.0029854584,0.0013467096,0,0.0005352422,"no_treatment","UV_day3","day3","GSM3554911"
"SRX5100845",0.0029796816,0.0012856572,0,0.0004527178,"no_treatment","UV_day3","day3","GSM3554912"
"SRX5100842",0.0030162402,0.0012683244,0,0.0005208736,"no_treatment","UV_day3","day3","GSM3554913"
"SRX5100843",0.0030474732,0.001380522,0,0.0004160866,"no_treatment","UV_day3","day3","GSM3554914"
"SRX5100850",0.0015309258,0.0007714074,5.55885e-05,0.00019993746,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554915"
"SRX5100851",0.0032122638,0.0012955584,0,0.0005430208,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554916"
"SRX5100601",0.0027660072,0.0011352402,0.00013704004,0.0003442472,"antiPD1; antiCTLA4;","UV_day3","day3","GSM3554917"
"SRX5100600",0.0029999328,0.0012144678,4.529314e-05,0.000552258,"antiPD1; antiCTLA4;","UV_end","end","GSM3554918"
"SRX5100603",0.0036522942,0.0015832164,9.24242e-05,0.0006054938,"antiPD1; antiCTLA4;","UV_end","end","GSM3554919"
"SRX5100602",0.0033371706,0.0015126558,0,0.0004322188,"antiPD1; antiCTLA4;","UV_end","end","GSM3554920"
"SRX5100768",0.0027182574,0.0011985,0,0.000401243,"no_treatment","end","end","GSM3554921"
"SRX5100769",0.0027417222,0.001221894,0,0.0004079096,"no_treatment","end","end","GSM3554922"
"SRX5100762",0.0026296956,0.00114987,0,0.000383359,"no_treatment","end","end","GSM3554923"
"SRX5100763",0.0032663148,0.0014302128,0,0.0005171634,"no_treatment","day3","day3","GSM3554924"
"SRX5100764",0.002735892,0.001200714,0,0.0004051178,"no_treatment","day3","day3","GSM3554925"
"SRX5100765",0.0028008834,0.0013482552,0,0.0004950832,"no_treatment","day3","day3","GSM3554926"
"SRX5100758",0.0027452058,0.0013435998,0,0.0004938924,"no_treatment","day3","day3","GSM3554927"
"SRX5100759",0.0032560866,0.0013324182,2.431386e-05,0.0005915904,"antiPD1; antiCTLA4;","day3","day3","GSM3554928"
"SRX5100810",0.0026870568,0.0011101152,0,0.000425852,"antiPD1; antiCTLA4;","day3","day3","GSM3554929"
"SRX5100809",0.0042670122,0.001543692,7.099598e-05,0.0005132436,"antiPD1; antiCTLA4;","day3","day3","GSM3554930"
"SRX5100808",0.0020835138,0.000977199,0,0.0004099942,"antiPD1; antiCTLA4;","day3","day3","GSM3554931"
"SRX5100807",0.003207612,0.0012687294,0,0.0004420012,"antiPD1; antiCTLA4;","end","end","GSM3554932"
"SRX5100814",0.0027447528,0.0011237598,0,0.0004635536,"antiPD1; antiCTLA4;","end","end","GSM3554933"
"SRX5100813",0.0021778716,0.000910281,0,0.000338682,"no_treatment","end","end","GSM3554934"
"SRX5100812",0.0029556798,0.0013101198,4.069564e-05,0.0005049472,"no_treatment","end","end","GSM3554935"
"SRX5100684",0.0021778626,0.000957261,2.142046e-05,0.0004180588,"antiPD1; antiCTLA4;","UV_end","end","GSM3554936"
